CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|MNR|MAS-IPSP|LIBRES|MTS|FRI|VOCES|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
7001801|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|4|220|0|46|46|2|1|36|131|1|7|139|131|139
7001811|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|5|220|0|54|37|2|2|40|135|0|8|143|135|143
7001821|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|6|220|0|63|36|2|1|29|131|1|10|142|131|142
7001831|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|7|220|0|51|46|1|3|24|125|1|9|135|125|135
7001841|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|8|220|0|46|35|3|3|47|134|1|5|140|134|140
7001851|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|9|220|0|39|46|3|5|43|136|0|8|144|136|144
7001861|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|10|220|0|54|45|2|2|30|133|1|5|139|133|139
7001871|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|11|220|0|37|52|0|3|37|129|0|7|136|129|136
7001881|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|12|220|0|52|41|1|1|37|132|1|3|136|132|136
7001891|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2254|El Carmen (Ibañez)|25409|U.E. Jose Mariano Serrano|13|111|0|29|29|1|1|17|77|0|4|81|77|81
